param_label,param_col,param_type,block,row,col,T,normal_a0_bias,normal_a0_esd,normal_a0_asd,t5_a0_bias,t5_a0_esd,t5_a0_asd,normal_a05_bias,normal_a05_esd,normal_a05_asd,t5_a05_bias,t5_a05_esd,t5_a05_asd
$\lambda$,lmbd_1,omega,lambda,1,,500,-0.12247856344147712,0.7375486733492724,0.3593794460278647,-0.12555995862434718,0.7372569214089064,0.35775947709593814,-0.08509200644121084,0.7467476499064686,0.3533361660491142,-0.09048673815839404,0.7042866421530877,0.3525484022988732
$\lambda$,lmbd_1,omega,lambda,1,,750,-0.06554594523370705,0.5118424558371342,0.32138693706523347,-0.05729546580844458,0.5412548458235849,0.32247957982248865,-0.0247328163704763,0.45901853035806023,0.31446328096781617,-0.02756193894475678,0.4989127993234158,0.3133119290935946
$\lambda$,lmbd_1,omega,lambda,1,,1000,-0.02859864518540367,0.41280413723621673,0.29260227312284426,-0.035564898235291846,0.3981244732237647,0.29182031479626286,-0.0186879261832018,0.35851738196153465,0.2814286956413155,-0.02035489806998303,0.371709653124281,0.280414886180163
$\gamma$,eta_1_gamma,omega,gamma,1,,500,0.09750617635269632,0.5051029675741255,0.258079602124139,0.10588800766564876,0.5048469396524997,0.256189542509315,0.08034701776127529,0.48665110771657183,0.2559932369950546,0.07120665374221957,0.4987997254806874,0.2570084101883807
$\gamma$,eta_1_gamma,omega,gamma,1,,750,0.05025638272487365,0.34476767511773854,0.2253683362062476,0.04541593016106349,0.3416760701627715,0.22564881244146867,0.03538064424133402,0.33389262751021165,0.2231838986486975,0.03033074544094405,0.3354590575480606,0.2237729999308319
$\gamma$,eta_1_gamma,omega,gamma,1,,1000,0.02667964844584203,0.2864297722549072,0.20218962654476721,0.029264553216743476,0.2648958940269851,0.20171977668400637,0.02693119295855584,0.25383106761482765,0.19869971445009943,0.02611196526571935,0.26198593648639484,0.19912547201164058
$\phi$,eta_1_phi,omega,phi,1,,500,-0.03571960483050085,0.6332337427498949,0.31031040352139194,-0.04477857043306943,0.5952167611522734,0.307917156931972,-0.01306790711613215,0.4860482873670322,0.2885234026524781,-0.03915208157495686,0.5886164797058127,0.29108485461953665
$\phi$,eta_1_phi,omega,phi,1,,750,-0.006835455811528,0.406982368646979,0.27401594575773375,-0.01443710648238116,0.42089414664214164,0.2743186533479645,-0.00414122983037223,0.3304905653175267,0.2523257081191062,-0.006746339720088421,0.37136830656148,0.2532466014525035
$\phi$,eta_1_phi,omega,phi,1,,1000,0.00019433143604641,0.3576267928226353,0.24719816690851912,-0.01004723356928249,0.3511421619745646,0.24666137583202433,-0.0080811802841807,0.2794766794829849,0.22542217922002977,-0.00998233914810242,0.2995015976806966,0.2259640011572988
"$g_{1,11}$",G1_r1_c1,G,1,1,1.0,500,-0.025067693998807587,0.4534488140999763,0.43825771404143127,-0.038049587309681436,0.4637914850045245,0.4412351246415783,-0.08031711910142236,0.5959271755136278,0.5688487135390858,-0.04548230264003861,0.594107071176386,0.5720714484323633
"$g_{1,11}$",G1_r1_c1,G,1,1,1.0,750,-0.01469939959200361,0.3717108329071221,0.35808297446597304,-0.01176136618790069,0.3720304030745879,0.35989170981050467,-0.03150314142427557,0.491518006629876,0.46459428913177686,-0.00709688312778955,0.48956465796383075,0.4666373517731223
"$g_{1,11}$",G1_r1_c1,G,1,1,1.0,1000,-0.0195788432366506,0.32891953824127484,0.31020026028945663,-0.023659859534830848,0.3288341247265346,0.3113058398628722,-0.03927250411567218,0.42097123715737467,0.40226920094894625,-0.03310563121111221,0.4217956700196776,0.4035351590190047
"$g_{2,11}$",G2_r1_c1,G,2,1,1.0,500,0.1848967015392189,0.760392912161862,0.6387103949281263,0.20633366681242743,0.7786086838330779,0.6405524851391056,0.1562540462401596,0.9419293371491069,0.8634532499117169,0.2065594899873638,0.9866972912259898,0.8598862230800448
"$g_{2,11}$",G2_r1_c1,G,2,1,1.0,750,0.13608597943238102,0.5883274598245954,0.5275257600357482,0.12908457154084424,0.5926775507831902,0.5307723077658295,0.1414278165506075,0.7401536796930356,0.7081810145154985,0.1442717782421507,0.8029057713299503,0.7117103499032258
