p,r,s,BIC,BIC_current,BIC_logdet_eff,BIC_logdet_T,Loss,logdet_sigma,trace_avg,k_params,penalty_scale,penalty_eff,penalty_T,T,T_eff,converged,iter_no,theta_diff,loss_diff,profile_loss,profile_candidate_index,profile_candidate_count,loss_plot_len,lmbd,eta,initial_lmbd,initial_eta,Error
0,0,0,3746.564463029332,3746.564463029332,-1041.4355369706673,-1041.4355369706673,4.519097973036198,-1.4809020269638011,5.999999999999999,21,1.0,140.324280546446,140.324280546446,798,798,True,5,0.0,0.0,4.519097973036198,1,1,6,,,,,
0,0,1,3296.7000260763134,3296.7000260763134,-1491.299973923687,-1491.299973923687,3.3357139214518567,-2.6642860785481437,6.0,95,1.0,634.8003167577318,634.8003167577318,798,798,False,99,0.0013423679630818475,3.4058230943317175e-05,3.3866382854940293,61,225,100,[],"[[0.5033395447875813, 0.2149468984481396]]",[],[[0.4        0.62831853]],
0,1,0,3273.882372648764,3273.882372648764,-1514.1176273512363,-1514.1176273512363,3.616942448617387,-2.383057551382613,6.0,58,1.0,387.56229865208894,387.56229865208894,798,798,True,44,6.610536128370814e-05,1.5676540922649707e-08,3.6175016629829653,14,17,45,[0.6319984482970872],[],[0.6],[],
0,2,0,3234.74212828965,3234.74212828965,-1553.2578717103497,-1553.2578717103497,3.2580724455287196,-2.74192755447128,6.0,95,1.0,634.8003167577318,634.8003167577318,798,798,False,99,0.00017783466470884524,2.699276654229905e-06,3.2629072013055818,107,136,100,"[0.8439977347011542, 0.07501523964512206]",[],[0.8 0.1],[],
1,0,0,3349.6909231022437,3349.6909231022437,-1432.3090768977563,-1434.512531756981,3.725071777178421,-2.274928222821579,6.0,57,1.0,380.80871669104226,380.8801900546391,798,797,True,5,0.0,0.0,3.725071777178421,1,1,6,,,,,
1,0,1,3350.0589586648916,3350.0589586648916,-1431.9410413351088,-1434.6715496397062,3.10522835099545,-2.8947716490045505,6.0,131,1.0,875.1919629215182,875.356226265925,798,797,False,99,0.0002561030433762823,1.966490396819853e-06,3.2778677874967905,106,225,100,[],"[[0.797764151963213, 0.10727768543262128]]",[],[[0.55       0.62831853]],
1,1,0,3226.325522291082,3226.325522291082,-1555.6744777089182,-1558.2964773819117,3.2601319730047704,-2.73986802699523,6.0,94,1.0,628.0003398062802,628.118208160282,798,797,True,18,1.183133463855679e-05,2.055153810893051e-09,3.2636445073422267,16,17,19,[0.8423854587327815],[],[0.8],[],
1,2,0,3343.2300644904453,3343.2300644904453,-1438.7699355095551,-1441.509012062803,3.0966601023449525,-2.903339897655048,6.0,131,1.0,875.1919629215182,875.356226265925,798,797,False,99,0.0007864340657852686,4.07190548849052e-05,3.1043079579533566,135,136,100,"[0.9575292993170027, 0.8179152341735388]",[],[0.9 0.7],[],
2,0,0,3403.8962791067333,3403.8962791067333,-1372.103720893267,-1376.8786532651602,3.4958461744010125,-2.5041538255989884,6.000000000000001,93,1.0,621.2027242835276,621.4360995628323,798,796,True,5,0.0,0.0,3.4958461744010125,1,1,6,,,,,
2,0,1,3550.3329352199244,3550.3329352199244,-1225.6670647800768,-1231.1303049234182,3.0588440592762716,-2.9411559407237293,6.000000000000001,167,1.0,1115.493064036012,1115.912135774118,798,796,False,99,0.0003330132342073411,2.1184139072319685e-06,3.183287421788322,121,225,100,[],"[[0.7440043728223065, 0.13987028674664134]]",[],[[0.6        0.62831853]],
2,1,0,3386.0668386316947,3386.0668386316947,-1389.9331613683055,-1395.2810108634392,3.162963498080308,-2.8370365019196924,6.0,130,1.0,868.3478941597698,868.6741176684752,798,796,True,21,5.237304367966544e-08,2.6367654034826357e-13,3.1637889355504445,17,17,22,[0.8821598018986633],[],[0.9],[],
2,2,0,3529.5981055676575,3529.5981055676575,-1246.4018944323418,-1251.9172321376238,3.032795278306087,-2.967204721693912,5.999999999999999,167,1.0,1115.493064036012,1115.912135774118,798,796,False,99,0.000246774456890142,1.7318211845260148e-05,3.05572686267765,136,136,100,"[0.9392147744787587, 0.9093983430253796]",[],[0.9 0.8],[],
