method,origin,train_end,target_index,status,error_message,fit_seconds,predict_seconds,mse_t,mae_t,sarma_branch_actual,sarma_initial_lmbd,sarma_initial_eta,sarma_profile_loss,sarma_profile_candidate_index,sarma_profile_candidate_count,sarma_final_lmbd,sarma_final_eta,sarma_loss,sarma_iter_no,sarma_converged,sarma_theta_diff,sarma_loss_diff
SARMA_LS,0,737,0,ok,,0.37549995799781755,0.004018958017695695,2.7265570479786123,1.3276318199386687,MLE,[0.85],[],3.289808522307029,12.0,12.0,[0.8707322954961632],[],3.288734702473985,18.0,True,1.0543003870711054e-05,2.2568563847373176e-09
SARMA_MLE,0,737,0,ok,,0.37549995799781755,0.0002880420070141554,2.519581966389483,1.2661922071540754,LS,[0.85],[],3.289808522307029,12.0,12.0,[0.8213780780367599],[],4.886854244345175,20.0,True,1.986659567410065e-06,2.579410507878066e-11
SARMA_LS,1,738,1,ok,,0.3567967920098454,0.00030745798721909523,1.4967369729725037,0.8091695755341298,MLE,[0.85],[],3.307287309593846,12.0,12.0,[0.8574042178687145],[],3.307144756572664,14.0,True,1.1284196441807559e-05,2.2980819876577537e-09
SARMA_MLE,1,738,1,ok,,0.3567967920098454,0.0002630419912748039,1.5117991580776986,0.8537809897690849,LS,[0.85],[],3.307287309593846,12.0,12.0,[0.8163272987333318],[],4.901670233326423,20.0,True,3.012000666102743e-06,6.216361309568256e-11
SARMA_LS,2,739,2,ok,,0.326516792003531,0.0003227500128559768,0.492522112142743,0.5282520702013475,MLE,[0.85],[],3.3168588968228248,12.0,12.0,[0.851171936239356],[],3.3168550238464674,9.0,True,1.0485727967912695e-05,1.865625440618972e-09
SARMA_MLE,2,739,2,ok,,0.326516792003531,0.00026125001022592187,0.534753762884015,0.582345240776221,LS,[0.85],[],3.3168588968228248,12.0,12.0,[0.819552428311366],[],4.904855954823962,19.0,True,1.9097689196723167e-06,2.7128349473282604e-11
SARMA_LS,3,740,3,ok,,0.3875031659845263,0.0003161670174449682,0.872164715729844,0.7640006480493843,MLE,[0.85],[],3.3173032735633643,12.0,12.0,[0.8464180653167435],[],3.3172725468437543,15.0,True,6.961216567624717e-07,8.022532270150672e-12
SARMA_MLE,3,740,3,ok,,0.3875031659845263,0.0002757500042207539,0.9613488592065744,0.8043532798851789,LS,[0.85],[],3.3173032735633643,12.0,12.0,[0.8204096469429936],[],4.904910242336018,19.0,True,2.991268454155538e-06,6.818309671115404e-11
SARMA_LS,4,741,4,ok,,0.3034962500096299,0.00033075001556426287,0.41200796589575184,0.49645975761217825,MLE,[0.85],[],3.3065477617489,12.0,12.0,[0.8491455904864472],[],3.3065459257361822,10.0,True,4.638862016737022e-08,2.5894203706184224e-13
SARMA_MLE,4,741,4,ok,,0.3034962500096299,0.00027295801555737853,0.47221845220000364,0.5330188140799249,LS,[0.85],[],3.3065477617489,12.0,12.0,[0.8258601740262803],[],4.900408442995997,18.0,True,3.35565418840833e-06,9.031729820598096e-11
